日本語,日本語 ※ふりがなつき,English,例文 example sentence,例文 example sentence　※ふりがなつき,English
雑談,雑談,n. small talk, chat,まだ10分ぐらいあるので、ちょっと雑談でもしましょうか。,まだ10分ぐらいあるので、ちょっと雑談でもしましょうか。,We still have about 10 minutes left, shall we just chat? 
段階,段階,n. phase,今は、テストの準備をしている段階です。,今は、テストの準備をしている段階です。,I'm in the preparation phase of the test now.
既存,既存,n. existing,既存のソースを見て、考えてみます。,既存のソースを見て、考えてみます。,I'll check the existing sources and then think about it.
事例,事例,n. case,先週、それに似た事例がありました。,先週、それに似た事例がありました。,There was a similar case last week.
品質,品質,n. quality,リリースを早めると、QAの品質を保つのは難しくなると思います。,リリースを早めると、QAの品質を保つのは難しくなると思います。,I think it'll be difficult to maintain the QA quality if we move the release date up.
処理,処理,n.  processing,返金処理は、いつ完了しそうですか。,返金処理は、いつ完了しそうですか。,When do you think we'll finish processing the refund?
障害,障害,n. fault, system error,最近、障害が多く発生している。,最近、障害が多く発生している。,A lot of system errors have been happening these days.
クリティカル,クリティカル,n-adj. critical, specially important,今のところ、クリティカルな障害は起きてません。,今のところ、クリティカルな障害は起きてません。,There are no critical failures yet. 
挙動,挙動,n.  behavior, acting,ちょっと待って、Chromeの挙動がおかしい。,ちょっと待って、Chromeの挙動がおかしい。,Hold on, Chrome is acting weird. 
やつ,やつ,n. thing ※casual,来週QAする予定のやつ、ある？,来週QAする予定のやつ、ある？,Is there something you plan to do QA for next week? 
作成する,作成する,v. make ,リリースまでのスケジュールを作成したので、まだ見てない人は、今日中に確認してください,リリースまでのスケジュールを作成したので、まだ見てない人は、今日中に確認してください,I've made a schedule for the next release, so please check it by the end of today if you haven't.
設計する,設計する,v.  plan, design, layout ,ABテストを設計するときの注意点については、ここを読んどいてください。,ABテストを設計するときの注意点については、ここを読んどいてください。,Please check here for the important points about planning AB tests.
展開する,展開する,v. expand, be open to,この資料は、全メンバーに展開されています,この資料は、全メンバーに展開されています,This document is now open to everyone.
詰める,内容を詰める,v. decide details,この件、もう少し詰めた方がいいですね。,この件、もう少し詰めた方がいいですね。,We should think about this more in order to decide the details. 
任せる,任せる,v. delegate, leave something with someone,このプロジェクトは、佐藤さんに任せました,このプロジェクトは、佐藤さんに任せました,I've delegated this project to Sato-san.
見積もる,見積もる,v. estimate,見積もると、だいたいトータルで2ヶ月かかります。,見積もると、だいたいトータルで2ヶ月かかります。,I estimate it will take about 2 months in total
紐づく           ,紐づく           ,v. link,この情報は、お客様IDに紐づいています,この情報は、お客様IDに紐づいています,This information is linked to customer ID.
感じ,感じ,n. like [something],こんな感じです。,こんな感じです。,It's like this.
以外,以外,n. besides, except,ここに書いてあるトピック以外に何か話したいことありますか。,ここに書いてあるトピック以外に何か話したいことありますか。,Is there anything else you want to talk about besides the topics written here?
同時に,同時に,adv. at the same time, simultaneously ,同時に担当できるプロジェクトの数には限界があります,同時に担当できるプロジェクトの数には限界があります,There's a limit to the number of projects we can handle at the same time.
結局,結局,adv. after all, in the end,これを解決しておかないと、結局、リリース直前に問題が出てくる。,これを解決しておかないと、結局、リリース直前に問題が出てくる。,If we don't solve this problem, in the end it'll happen just before the release. 
ほぼ ,ほぼ ,adv. mostly,このチケットはほぼ終わりました,このチケットはほぼ終わりました,I've mostly finished this ticket.
そもそも,そもそも,adv. in the first place ,そもそも、このミーティングの目的はなんでしたっけ？,そもそも、このミーティングの目的はなんでしたっけ？,What was the point of this meeting in the first place?
どんどん,どんどん,adv. one after the other ,どんどん意見を言ってくださいね,どんどん意見を言ってくださいね,Let's all share our opinions one after the other. 
〜側,〜側,n. side ,これはQA側で対応します,これはQA側で対応します,OK, the QA side will deal with this.
チケットを取る,チケットを取る,take a ticket,すでに3つチケットを取っているので、今週は取れません。,すでに3つチケットを取っているので、今週は取れません。,I can't take a ticket this week because I have already taken 3.
すでに,すでに,adv. already,ー,ー,ー
プルリクを出す,プルリクを出す,make/create a pull request ,昨日、プルリクを出しました。,昨日、プルリクを出しました。,I made a pull request yesterday. 
開発する,開発する,v. develop,今、Xを開発しています。,今、Xを開発しています。,I'm developing X now.
修正する,修正する,v. correct, revise,修正は今日中に終わると思います。,修正は今日中に終わると思います。,I think I'll revise it by the end of today.
マージする,マージする,v. merge,XをYにマージしました。,XをYにマージしました。,I merged X with Y.
進める,進める,v. [*transitive verb 他動詞]
1. move forward, proceed with 
2. work on ,このチケットは、Kenさんと一緒に進めています。,このチケットは、Kenさんと一緒に進めています。,I'm working on this ticket with Ken.
[システムが]動く,[システムが]動く,v. work, operate ,システムがちゃんと動いてないことがわかった。,システムがちゃんと動いてないことがわかった。,I realized that the system was not working properly. 
ちゃんと,ちゃんと ※casual,adv. properly,ー,ー,ー
間に合う,間に合う,be in time, make a deadline,来週のリリースには間に合いそうです。,来週のリリースには間に合いそうです。,It seems that we'll make the release next week.
状態,状態,n. status,QAしてもらえる状態のものがありますか。,QAしてもらえる状態のものがありますか。,Is there anything ready for QA?
課題,課題,n. issue,課題が見つかった。,課題が見つかった。,We found some issues.
要件,要件,n. requirements,要件は明日、テックリードに共有します。,要件は明日、TLに共有します。,I'll share requirements with TLs tomorrow.
仕様,仕様,n. specification document,まだ仕様が決まってない。,まだ仕様が決まってない。,The specs haven't been decided yet.
固まる ,固まる ,v. take shape ,まだ仕様が固まっていません。,まだ仕様が固まっていません。,The specs haven't taken shape yet.
支障,支障,n. obstacle, hitch ,それによって支障が出ています。,それによって支障が出ています。,It interferes with it .
影響,影響,n. effect,これは、お客様に影響があるインシデントじゃないです。,これは、お客様に影響があるインシデントじゃないです。,This is not an incident that has an effect on customers.
原因,原因,n. cause,これから原因を調べます。,これから原因を調べます。,I will look into the causes now.
相談する,相談する,v. consult,マネージャーに相談する。,マネージャーに相談する。,I'll consult with my manager.
困る,困る,v. be in trouble,何か困ってることがありますか。,何か困ってることがありますか。,Do you have any difficulties?
[人/チームと]連携する,[人/チームと]連携する,v. work together, align with,これはteam Bと連携してやっていきます。,これはteam Bと連携してやっていきます。,We are aligned with team B to do this .
syncする,syncする,v. sync,あとでテックリードとsyncしておきます。,あとでTLとsyncしておきます。,I will sync with TL later.
設定する,設定する,v. set,目標を設定する。,目標を設定する。,I'll set goals / I am setting goals.
反映する,反映する,v. reflect,先週修正したけど、Jiraに反映されてません。,先週修正したけど、Jiraに反映されてません。,I edited it last week, but it isn't reflected on Jira .
効率,効率,n. efficiency,そのやり方は、効率がよさそう。,そのやり方は、効率がよさそう。,That method seems efficient.
詳細,詳細,n. details,詳細はdocsを見てください。,詳細はdocsを見てください。,Please check the docs for details.
詳しく,詳しく,adv. in detail,どんなインシデントだったか詳しく教えてもらえますか。,どんなインシデントだったか詳しく教えてもらえますか。,Could you tell me about the incident in detail?
方針,方針,n. policy,まだ会社の方針が決まってない。,まだ会社の方針が決まってない。,The company policy has not been decided yet.
補足,補足,n.  supplementary, additional,ケンさんの話への補足なんですけど、、、,ケンさんの話への補足なんですけど、、、,Let me add something to what Ken said,
効果的,効果的,ナadj. effective,このやり方が効果的だと思います。,このやり方が効果的だと思います。,I think this way is effective.
達成する,達成する,v. achieve,先週、OKRを達成しました。,先週、OKRを達成しました。,We achieved our OKR last week.
報告する,報告する,v. report,プロジェクトについて報告します。,プロジェクトについて報告します。,I will report on the project.
議論する,議論する,v. discuss,それはEMが議論しているところです。,それはEMが議論しているところです。,EMs are discussing it now.
不具合,不具合,n. defect, bug,ちょっと不具合があるので、今日中に直します。,ちょっと不具合があるので、今日中に直します。,There are some defects, so I'll fix it by the end of the day.
順調,順調,n/ナadj. smooth,これは、順調に進んでいます。,これは、順調に進んでいます。,This is working well.
量,量,n. amount,タスクの量が多すぎます。,タスクの量が多すぎます。,There are too many tasks.
具体的,具体的,ナadj. concrete,具体的にどんなインシデントでしたか。,具体的にどんなインシデントでしたか。,Could you expain the incident more concretely?
状況,状況,n. situation,QAのリソースが厳しい状況です。,QAのリソースが厳しい状況です。,We're in a tough situation in terms of QA resources.
現状,現状,n. present situation,現状を説明します。,現状を説明します。,I'll explain about the present situation.
進捗確認,進捗確認,n. progress check,まずは、進捗確認をしましょう。,まずは、進捗確認をしましょう。,Let's start with a progress check.
優先順位,優先順位,n. priority,優先順位を決めたほうがいいと思います。,優先順位を決めたほうがいいと思います。,I think we should decide the priority.
残る,残る,v. remain,残っているチケットはありますか。,残っているチケットはありますか。,Are there any tickets left?
着手する,着手する,v. initiate,それって、もう着手してますか？,それって、もう着手してますか？,Have you already initiated it? 
調整する,調整する,v. adjust,最近忙しすぎるので、タスクの量を調整したほうがいいいと思っています。,最近忙しすぎるので、タスクの量を調整したほうがいいいと思っています。,I'm thinking I should adjust my workload because I've been too busy these days.
認識,認識,n. recognition, understanding,全員で認識を合わせたいです。,全員で認識を合わせたいです。,I'd like to make sure everyone's on the same page.
ずれる,ずれる,v. be out of alignment,認識がずれてないか確認したいです。,認識がずれてないか確認したいです。,I'd like to make sure there's no misunderstanding between us.
変更する,変更する,v. change,スケジュールが変更しています。,スケジュールが変更しています。,The schedule has been changed.
開始する,開始する,v. start,来週からキャンペーンが開始します。,来週からキャンペーンが開始します。,We will start a campaign next week.
前倒しする,前倒しする,v. reschedule to an earlier time,このプロジェクトは、前倒しで進めましょう,このプロジェクトは、前倒しで進めましょう。,Let's move up this project. 
以降,以降,n. sometime after,コードレビューは、来週以降の予定です,コードレビューは、来週以降の予定です。,We're planning to do a code review sometime after next week.
締切,締切,n. deadline, due date,締切はいつですか。,締切はいつですか。,When is the due date?
先に,先に,adv. ahead,他のミーティングがあって、ちょっと遅れるので、先に始めてください。,他のミーティングがあって、ちょっと遅れるので、先に始めてください。,Please go ahead with the meeting without me as I'm running late due to another meeting.
事前に,事前に,adv. in advance,話したいトピックは、事前に書いておいてください。,話したいトピックは、事前に書いておいてください。,Please write the topics you want to talk about in advance.
早めに,早めに,adv. early,これは来週リリースなので、早めにやった方がいいと思います。,これは来週リリースなので、早めにやった方がいいと思います。,I think we should work on this earlier because we will release it next week.
一旦,一旦,adv. temporarily, for a moment,一旦、このやり方で進めましょう。,一旦、このやり方で進めましょう,Let's move forward in this way, temporarily. 
環境,環境,n. environment,すべてテスト環境に反映しました。,すべてテスト環境に反映しました。,Everything has been reflected in the test environment.
業務,業務,n. business, task,ネット環境が悪くて、業務に支障が出ています。,ネット環境が悪くて、業務に支障が出ています。,The internet environment  here is bad, which is hindering our business.
機能,機能,n. feature, function,どんな機能があったら、もっとお客様のためになると思う?,どんな機能があったら、もっとお客様のためになると思う?,What features do you think would be more beneficial for our customers?
運用,運用,n. operation,これは、ちゃんと運用ができていません。,これは、ちゃんと運用ができていません。,That operation is not working properly. 
観点,観点,n. point of view,QAの観点からすると、このタスクの優先順位は低いです。,QAの観点からすると、このタスクの優先順位は低いです。,From QA's point of view, the priority of this task is low.
重要,重要,n./ na-adj.  important,どれが一番重要な問題ですか。,どれが一番重要な問題ですか。,Which one is the most important issue?
画面共有,画面共有,n. screen share,画面共有してもらえる？,画面共有してもらえる？,Can you share your screen?
デプロイ,デプロイ,n. deployment,昨日、デプロイ、完了しました。,昨日、デプロイ、完了しました。,I completed the deployment yesterday.
動作確認,動作確認,n. checking or testing operation,動作確認はいつしますか。,動作確認はいつしますか。,When are you going to test the operation?
実装する,実装する,v. implement,これは来週実装します,これは来週実装します。,We're going to implement this next week.
安定している,安定している,v. be stable,バ グを直したので、今は安定しています。,バクを直したので、今は安定しています,It's stable now since I've resolved the bugs.
発生する,発生する,v. occur,オンコールのときに、問題が発生しました。,オンコールのときに、問題が発生しました。,An issue occurred when I was on call.
対応する,対応する,v. deal with, handle,これは、他のチームが対応してくれるので、うちのチームはしなくていいです。,これは、他のチームが対応してくれるので、うちのチームはしなくていいです。,For this issue, our team doesn't need to deal with it since another team will.
削除する,削除する,v. delete,Jiraに同じ内容のチケットが２つあるので、こっちは削除しますね。,Jiraに同じ内容のチケットが２つあるので、こっちは削除しますね。,I'll delete this because there are two tickets with the same content on Jira.
保存する,保存する,v. save,すみません、修正したあと、保存し忘れました。,すみません、修正したあと、保存し忘れました。,Sorry, I forgot to save it after I fixed it.
検討する,検討する,v. consider, think about,ロールバックのやり方は今検討中です。,ロールバックのやり方は今、検討中です。,We're now thinking about how to roll it back.
関係する,関係する,v. be related to,このチケットに関係してる人って、誰だっけ？,このチケットに関係してる人って、誰だっけ？,Who's the person related to this ticket?
継続する,継続する,v. continue,weekly sync ミーティングは、今後も継続していきましょう。,weekly sync ミーティングは、今後も継続していきましょう。,Let's continue the weekly sync meetings as we've been doing.
測る,測る,v. measure,この目標を達成したかどうかをどうやって測りますか。,この目標を達成したかどうかをどうやって測りますか。,How do you measure if you've achieved your goal or not?
検索する,検索する,v. search,この画面は検索しにくいですね。,この画面は検索しにくいですね。,This screen layout makes it difficult to use the search function.
時期,時期,n. period, season,リリースの時期は、調整中です。,リリースの時期は、調整中です。,The release period is being adjusted.
未確定,未確定,n. / na-adj. undecided,スケジュールは未確定です。,スケジュールは未確定です。,The schedule hasn't been decided yet.
不足,不足
※コミュニーケーション不足,n. shortage, lack of,チーム内のコミュニケーション不足が、問題になっています。,チーム内のコミュニケーション不足が、問題になっています。,The lack of communication among team members is becoming a problem.
余裕,余裕,n. time / money / space , have room in someone's mind,今月は、リリースが多くて、みんな余裕があんまりない。,今月は、リリースが多くて、みんな余裕があんまりない。,We don't have time to spare since we have a lot of releases this month.
正常,正常,n. / na-adj.  normally, normal,システムが正常に動いてないので、今日中に鈴木さんが確認する予定になっています。,システムが正常に動いてないので、今日中に鈴木さんが確認する予定になっています。,Since the system isn't working normally, Suzuki-san is going to check on it today.
最優先,最優先,n. top priority,これはリリースが来週なので、最優先で進めたほうがいいと思います。,これはリリースが来週なので、最優先で進めたほうがいいと思います。,I think it's better to make this the top priority because the release is next week.
直接,直接,adv. directly,困ったことがあったら、直接マネージャーに相談してください。,困ったことがあったら、直接マネージャーに相談してください。,Please talk to your manager directly if you have any problems.
途中,途中,n. in the middle of, halfway,今、このチケットをやってる途中ですか。,今、このチケットをやってる途中ですか。,Are you in the middle of working on this ticket?
処理,処理,n. process,返金処理は、昨日、完了しました。,返金処理は、昨日、完了しました。,I completed the refund process yesterday.
集中する,集中する,v. 1. concentrate 
    2. concentrated,サイトへのアクセスは、どの時間帯が一番集中しますか。,サイトへのアクセスは、どの時間帯が一番集中しますか。,What time is access to the site most concentrated? 
遅延する,遅延する,v. delay,昨日の夜、システムに遅延が発生しました。,昨日の夜、システムに遅延が発生しました。,A system delay happened last night. 
作業をする,作業をする,v. work ,明日、バージョンアップする作業をします。,明日、バージョンアップする作業をします。,I'll work on updating this tomorrow.
担当する,担当する,v.  be responsible for, be in charge of ,この業務は、どこのチームが担当してるか知ってる？,この業務は、どこのチームが担当してるか知ってる？,Do you know which team is responsible for this work?
追加する,追加する,v. add,話したいトピックがある人は、議事録に追加しておいてくださいね。,話したいトピックがある人は、議事録に追加しておいてくださいね。,Please add the topics you want to talk about to the notes.
提案する,提案する,v. propose, suggest,何か提案がある人は、明日までに私にDMしてください。,何か提案がある人は、明日までに私にDMしてください。,If you want to suggest anything, please DM me by tomorrow.
導入する,導入する,v. implement,新しいサービスを導入する時期はまだ決まってません。,新しいサービスを導入する時期はまだ決まってません。,The timing of implementing the new service hasn't been decided yet.
落ちる,落ちる,v. drop, go down,夜中にアクセスが集中して、サービスが一時的に落ちました。,夜中にアクセスが集中して、サービスが一時的に落ちました。,The service went down temporarily late last night because of a spike in access.
移動する,移動する,v. move, shift,今Q対応しないチケットは、次のSprintに移動しておきます。,今Q対応しないチケットは、次のSprintに移動しておきます。,Tickets that we won't deal with this Q will be moved to the next sprint.
被る,被る,v. have a schedule conflict  ,すみません、他のミーティングと被ってるので、明日のスタンドアップミーティングに参加できません。,すみません、他のミーティングと被ってるので、明日のスタンドアップミーティングに参加できません。,Sorry, I can't join tomorrow's stand up because of a schedule conflict.
ミーティングを抜ける,ミーティングを抜ける,v. leave the meeting,【状況：ミーティングに出席中】
 すみません、次のミーティングがあるので、先に抜けますね。,【状況：ミーティングに出席中】
 すみません、次のミーティングがあるので、先に抜けますね。,[Situation: In a meeting]
Sorry, I need to leave now because I have another meeting.
けっこう,けっこう,adv. quite,来月はけっこう忙しくなると思うので、みなさん、今のうちにゆっくり休んでくださいね。,来月はけっこう忙しくなると思うので、みなさん、今のうちにゆっくり休んでくださいね。,Please take it easy now since we're going to be quite busy next month.
ギリギリ,ギリギリ,adv. at the last moment, barely,このチケットは、ギリギリになりそうですが、締切までに終わると思います。,このチケットは、ギリギリになりそうですが、締切までに終わると思います。,It'll be really tight, but I think I'll just barely get the ticket done by the deadline.
基本的に,基本的に,adv.  basically,基本的に、来Qのみなさんのアサインは、今Qと変更ありません。,基本的に、来Qのみなさんのアサインは、今Qと変更ありません。,Basically, everyone's assignments won't change much from this Q to next Q.
ちなみに,ちなみに,adv. also, in addition,ちなみに、いつぐらいまでにリリースの時期が決まるか、わかりますか。,ちなみに、いつぐらいまでにリリースの時期が決まるか、わかりますか。,Also, do you know when the release period will be decided? Approximately?
視点,視点,n. point of view,お客様視点で考えてみて。,お客様視点で考えてみて。,Think about it from the customer's point of view.
雑談,雑談,n. small talk, chat,まだ10分ぐらいあるので、ちょっと雑談でもしましょうか。,まだ10分ぐらいあるので、ちょっと雑談でもしましょうか。,We still have about 10 minutes left, shall we just chat? 
段階,段階,n. phase,今は、テストの準備をしている段階です。,今は、テストの準備をしている段階です。,I'm in the preparation phase of the test now.
既存,既存,n. existing,既存のソースを見て、考えてみます。,既存のソースを見て、考えてみます。,I'll check the existing sources and then think about it.
事例,事例,n. case,先週、それに似た事例がありました。,先週、それに似た事例がありました。,There was a similar case last week.
品質,品質,n. quality,リリースを早めると、QAの品質を保つのは難しくなると思います。,リリースを早めると、QAの品質を保つのは難しくなると思います。,I think it'll be difficult to maintain the QA quality if we move the release date up.
処理,処理,n.  processing,返金処理は、いつ完了しそうですか。,返金処理は、いつ完了しそうですか。,When do you think we'll finish processing the refund?
障害,障害,n. fault, system error,最近、障害が多く発生している。,最近、障害が多く発生している。,A lot of system errors have been happening these days.
クリティカル,クリティカル,n-adj. critical, specially important,今のところ、クリティカルな障害は起きてません。,今のところ、クリティカルな障害は起きてません。,There are no critical failures yet. 
挙動,挙動,n.  behavior, acting,ちょっと待って、Chromeの挙動がおかしい。,ちょっと待って、Chromeの挙動がおかしい。,Hold on, Chrome is acting weird. 
やつ,やつ,n. thing ※casual,来週QAする予定のやつ、ある？,来週QAする予定のやつ、ある？,Is there something you plan to do QA for next week? 
作成する,作成する,v. make ,リリースまでのスケジュールを作成したので、まだ見てない人は、今日中に確認してください,リリースまでのスケジュールを作成したので、まだ見てない人は、今日中に確認してください,I've made a schedule for the next release, so please check it by the end of today if you haven't.
設計する,設計する,v.  plan, design, layout ,ABテストを設計するときの注意点については、ここを読んどいてください。,ABテストを設計するときの注意点については、ここを読んどいてください。,Please check here for the important points about planning AB tests.
展開する,展開する,v. expand, be open to,この資料は、全メンバーに展開されています,この資料は、全メンバーに展開されています,This document is now open to everyone.
詰める,内容を詰める,v. decide details,この件、もう少し詰めた方がいいですね。,この件、もう少し詰めた方がいいですね。,We should think about this more in order to decide the details. 
任せる,任せる,v. delegate, leave something with someone,このプロジェクトは、佐藤さんに任せました,このプロジェクトは、佐藤さんに任せました,I've delegated this project to Sato-san.
見積もる,見積もる,v. estimate,見積もると、だいたいトータルで2ヶ月かかります。,見積もると、だいたいトータルで2ヶ月かかります。,I estimate it will take about 2 months in total
紐づく           ,紐づく           ,v. link,この情報は、お客様IDに紐づいています,この情報は、お客様IDに紐づいています,This information is linked to customer ID.
感じ,感じ,n. like [something],こんな感じです。,こんな感じです。,It's like this.
以外,以外,n. besides, except,ここに書いてあるトピック以外に何か話したいことありますか。,ここに書いてあるトピック以外に何か話したいことありますか。,Is there anything else you want to talk about besides the topics written here?
同時に,同時に,adv. at the same time, simultaneously ,同時に担当できるプロジェクトの数には限界があります,同時に担当できるプロジェクトの数には限界があります,There's a limit to the number of projects we can handle at the same time.
結局,結局,adv. after all, in the end,これを解決しておかないと、結局、リリース直前に問題が出てくる。,これを解決しておかないと、結局、リリース直前に問題が出てくる。,If we don't solve this problem, in the end it'll happen just before the release. 
ほぼ ,ほぼ ,adv. mostly,このチケットはほぼ終わりました,このチケットはほぼ終わりました,I've mostly finished this ticket.
そもそも,そもそも,adv. in the first place ,そもそも、このミーティングの目的はなんでしたっけ？,そもそも、このミーティングの目的はなんでしたっけ？,What was the point of this meeting in the first place?
どんどん,どんどん,adv. one after the other ,どんどん意見を言ってくださいね,どんどん意見を言ってくださいね,Let's all share our opinions one after the other. 
〜側,〜側,n. side ,これはQA側で対応します,これはQA側で対応します,OK, the QA side will deal with this.